Zeitstempel;Maschine_ID;Temperatur;Druck;Gewicht;Laenge;Breite;Hoehe;Energieverbrauch;Status;Fehlercode
11.11.2024-06:12:52;F_VG002;84.9;2.55;162.0;34.0;49.9;24.9;5.0;Aktiv;
11.11.2024-06:13:06;F_VG002;84.5;2.5;162.2;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:13:20;F_VG002;84.7;2.5;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:13:34;F_VG002;84.8;2.5;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:13:48;F_VG002;85.1;2.53;161.9;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:14:02;F_VG002;85.2;2.5;162.2;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:14:16;F_VG002;84.7;2.49;162.0;34.0;50.1;25.1;5.0;Aktiv;
11.11.2024-06:14:30;F_VG002;84.7;2.56;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:14:44;F_VG002;85.2;2.52;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:14:58;F_VG002;84.8;2.44;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:15:12;F_VG002;84.7;2.5;161.9;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:15:26;F_VG002;85.4;2.53;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:15:40;F_VG002;84.6;2.52;162.1;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:15:54;F_VG002;85.1;2.52;162.0;34.2;49.9;25.1;5.0;Aktiv;
11.11.2024-06:16:08;F_VG002;85.1;2.55;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:16:22;F_VG002;85.2;2.6;162.2;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-06:16:36;F_VG002;84.8;2.45;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:16:50;F_VG002;84.8;2.54;162.0;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:17:04;F_VG002;84.9;2.42;162.2;34.1;49.9;25.0;5.0;Aktiv;
11.11.2024-06:17:18;F_VG002;84.9;2.49;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:17:32;F_VG002;85.1;2.57;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:17:46;F_VG002;85.2;2.57;162.1;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:18:00;F_VG002;85.0;2.52;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:18:14;F_VG002;84.9;2.44;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:18:28;F_VG002;84.9;2.53;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:18:42;F_VG002;85.2;2.48;161.9;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:18:56;F_VG002;85.2;2.56;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:19:10;F_VG002;84.8;2.55;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:19:24;F_VG002;84.5;2.53;161.9;33.9;49.9;25.1;5.0;Aktiv;
11.11.2024-06:19:38;F_VG002;84.8;2.41;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:19:52;F_VG002;85.2;2.46;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:20:06;F_VG002;85.5;2.52;162.1;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:20:20;F_VG002;84.8;2.54;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:20:34;F_VG002;84.5;2.49;162.1;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-06:20:48;F_VG002;84.9;2.5;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:21:02;F_VG002;85.0;2.48;161.9;34.1;50.0;25.2;5.0;Aktiv;
11.11.2024-06:21:16;F_VG002;84.8;2.48;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:21:30;F_VG002;85.0;2.5;162.0;34.0;49.9;25.1;5.0;Aktiv;
11.11.2024-06:21:44;F_VG002;84.9;2.54;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:21:58;F_VG002;85.8;2.41;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:22:12;F_VG002;84.8;2.6;161.9;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:22:26;F_VG002;84.7;2.48;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:22:40;F_VG002;85.4;2.53;161.8;34.0;49.9;25.1;5.0;Aktiv;
11.11.2024-06:22:54;F_VG002;84.9;2.42;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:23:08;F_VG002;84.6;2.52;162.0;34.0;50.1;25.1;5.0;Aktiv;
11.11.2024-06:23:22;F_VG002;85.2;2.51;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:23:36;F_VG002;85.3;2.43;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:23:50;F_VG002;85.0;2.47;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:24:04;F_VG002;85.0;2.53;162.0;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:24:18;F_VG002;84.7;2.47;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:24:32;F_VG002;85.0;2.49;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:24:46;F_VG002;84.6;2.44;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:25:00;F_VG002;85.1;2.47;161.9;34.0;49.9;25.1;5.0;Aktiv;
11.11.2024-06:25:14;F_VG002;85.2;2.53;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:25:28;F_VG002;84.6;2.49;162.1;34.1;50.1;25.0;5.0;Aktiv;
11.11.2024-06:25:42;F_VG002;85.2;2.57;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:25:56;F_VG002;85.0;2.42;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:26:10;F_VG002;85.3;2.5;161.9;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:26:24;F_VG002;85.2;2.52;161.9;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:26:38;F_VG002;85.4;2.54;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:26:52;F_VG002;84.6;2.42;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:27:06;F_VG002;85.0;2.53;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:27:20;F_VG002;84.5;2.49;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:27:34;F_VG002;84.8;2.48;162.1;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:27:48;F_VG002;85.0;2.48;161.9;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:28:02;F_VG002;85.4;2.6;161.9;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:28:16;F_VG002;85.1;2.52;162.1;34.1;49.9;25.0;5.0;Aktiv;
11.11.2024-06:28:30;F_VG002;84.9;2.51;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:28:44;F_VG002;84.6;2.42;161.9;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:28:58;F_VG002;84.7;2.47;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:29:12;F_VG002;84.5;2.57;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:29:26;F_VG002;85.0;2.51;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:29:40;F_VG002;85.1;2.54;162.3;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:29:54;F_VG002;85.1;2.6;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:30:08;F_VG002;85.2;2.54;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:30:22;F_VG002;84.8;2.57;162.1;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:30:36;F_VG002;85.8;2.58;161.9;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:30:50;F_VG002;85.0;2.52;162.1;34.0;50.0;25.2;5.0;Aktiv;
11.11.2024-06:31:04;F_VG002;85.2;2.48;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:31:18;F_VG002;84.7;2.47;161.9;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-06:31:32;F_VG002;84.7;2.53;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:31:46;F_VG002;84.5;2.54;162.0;34.0;49.9;25.1;5.0;Aktiv;
11.11.2024-06:32:00;F_VG002;85.2;2.56;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:32:14;F_VG002;85.1;2.52;162.1;34.0;50.1;25.1;5.0;Aktiv;
11.11.2024-06:32:28;F_VG002;85.3;2.4;161.8;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:32:42;F_VG002;85.4;2.53;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:32:56;F_VG002;85.2;2.53;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:33:10;F_VG002;85.0;2.44;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:33:24;F_VG002;85.3;2.54;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:33:38;F_VG002;84.7;2.54;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:33:52;F_VG002;84.9;2.43;162.2;34.0;50.1;25.1;5.0;Aktiv;
11.11.2024-06:34:06;F_VG002;85.3;2.6;162.1;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:34:20;F_VG002;85.3;2.43;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:34:34;F_VG002;85.0;2.55;162.0;33.8;50.0;25.0;5.0;Aktiv;
11.11.2024-06:34:48;F_VG002;85.0;2.4;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:35:02;F_VG002;84.9;2.54;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:35:16;F_VG002;84.9;2.49;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:35:30;F_VG002;84.6;2.49;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:35:44;F_VG002;85.2;2.5;162.0;34.0;50.1;25.1;5.0;Aktiv;
11.11.2024-06:35:58;F_VG002;84.5;2.46;162.0;34.1;49.9;25.0;5.0;Aktiv;
11.11.2024-06:36:12;F_VG002;85.6;2.45;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:36:26;F_VG002;85.4;2.52;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:36:40;F_VG002;84.8;2.44;162.0;33.9;50.1;25.0;5.0;Aktiv;
11.11.2024-06:36:54;F_VG002;85.1;2.49;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:37:08;F_VG002;85.4;2.57;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:37:22;F_VG002;85.2;2.54;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:37:36;F_VG002;84.9;2.49;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:37:50;F_VG002;84.8;2.47;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:38:04;F_VG002;85.5;2.55;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:38:18;F_VG002;84.6;2.5;161.9;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:38:32;F_VG002;84.8;2.52;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:38:46;F_VG002;85.2;2.55;161.9;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-06:39:00;F_VG002;84.8;2.5;161.9;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:39:14;F_VG002;84.9;2.48;162.0;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-06:39:28;F_VG002;85.0;2.51;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:39:42;F_VG002;84.5;2.58;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:39:56;F_VG002;85.2;2.55;162.1;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:40:10;F_VG002;85.3;2.5;162.1;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:40:24;F_VG002;85.3;2.44;162.0;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:40:38;F_VG002;84.9;2.52;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:40:52;F_VG002;84.7;2.6;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:41:06;F_VG002;85.0;2.48;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:41:20;F_VG002;84.8;2.52;162.1;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:41:34;F_VG002;85.0;2.48;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:41:48;F_VG002;85.3;2.46;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:42:02;F_VG002;85.2;2.6;162.0;33.9;50.1;25.0;5.0;Aktiv;
11.11.2024-06:42:16;F_VG002;84.8;2.59;162.0;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:42:30;F_VG002;85.0;2.5;161.9;34.0;50.1;25.1;5.0;Aktiv;
11.11.2024-06:42:44;F_VG002;84.6;2.54;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:42:58;F_VG002;84.8;2.52;162.0;33.9;50.1;25.0;5.0;Aktiv;
11.11.2024-06:43:12;F_VG002;84.6;2.5;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:43:26;F_VG002;84.7;2.56;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:43:40;F_VG002;84.8;2.51;162.0;34.1;49.9;25.1;5.0;Aktiv;
11.11.2024-06:43:54;F_VG002;85.1;2.52;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:44:08;F_VG002;84.7;2.51;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:44:22;F_VG002;85.3;2.59;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:44:36;F_VG002;84.2;2.53;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:44:50;F_VG002;84.9;2.47;162.0;34.1;50.1;25.1;5.0;Aktiv;
11.11.2024-06:45:04;F_VG002;85.0;2.5;162.1;34.2;50.0;25.1;5.0;Aktiv;
11.11.2024-06:45:18;F_VG002;84.8;2.53;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:45:32;F_VG002;84.7;2.46;162.1;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:45:46;F_VG002;85.3;2.55;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:46:00;F_VG002;84.9;2.5;162.1;34.0;49.9;24.9;5.0;Aktiv;
11.11.2024-06:46:14;F_VG002;84.9;2.56;162.0;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:46:28;F_VG002;85.2;2.6;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:46:42;F_VG002;85.1;2.59;162.1;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:46:56;F_VG002;85.4;2.44;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:47:10;F_VG002;85.0;2.56;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:47:24;F_VG002;84.8;2.47;162.1;33.9;50.0;25.2;5.0;Aktiv;
11.11.2024-06:47:38;F_VG002;84.6;2.52;162.0;34.1;49.9;24.9;5.0;Aktiv;
11.11.2024-06:47:52;F_VG002;85.3;2.48;162.1;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:48:06;F_VG002;84.7;2.49;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:48:20;F_VG002;84.6;2.44;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:48:34;F_VG002;85.2;2.43;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:48:48;F_VG002;85.4;2.6;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:49:02;F_VG002;85.0;2.46;162.0;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-06:49:16;F_VG002;85.6;2.46;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:49:30;F_VG002;84.9;2.45;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:49:44;F_VG002;85.4;2.51;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:49:58;F_VG002;84.5;2.48;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:50:12;F_VG002;84.9;2.55;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:50:26;F_VG002;84.8;2.46;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:50:40;F_VG002;85.2;2.49;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:50:54;F_VG002;85.1;2.42;162.2;34.2;50.0;24.9;5.0;Aktiv;
11.11.2024-06:51:08;F_VG002;85.6;2.54;161.9;34.2;50.0;25.1;5.0;Aktiv;
11.11.2024-06:51:22;F_VG002;85.0;2.54;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:51:36;F_VG002;84.7;2.47;161.9;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:51:50;F_VG002;85.1;2.58;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:52:04;F_VG002;85.3;2.51;162.0;34.0;50.1;24.9;5.0;Aktiv;
11.11.2024-06:52:18;F_VG002;84.7;2.6;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:52:32;F_VG002;85.0;2.54;162.1;34.0;50.0;25.2;5.0;Aktiv;
11.11.2024-06:52:46;F_VG002;85.3;2.53;162.0;33.9;50.0;24.8;5.0;Aktiv;
11.11.2024-06:53:00;F_VG002;84.9;2.4;162.1;34.1;50.0;25.2;5.0;Aktiv;
11.11.2024-06:53:14;F_VG002;85.3;2.4;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:53:28;F_VG002;85.1;2.54;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:53:42;F_VG002;85.3;2.49;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:53:56;F_VG002;84.8;2.45;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:54:10;F_VG002;85.2;2.52;162.1;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:54:24;F_VG002;84.8;2.52;162.1;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-06:54:38;F_VG002;85.1;2.53;162.1;34.1;50.1;24.9;5.0;Aktiv;
11.11.2024-06:54:52;F_VG002;85.2;2.4;162.1;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:55:06;F_VG002;84.3;2.5;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:55:20;F_VG002;85.0;2.54;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:55:34;F_VG002;84.9;2.47;162.1;34.0;50.1;24.9;5.0;Aktiv;
11.11.2024-06:55:48;F_VG002;85.0;2.51;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:56:02;F_VG002;85.0;2.52;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:56:16;F_VG002;84.9;2.5;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:56:30;F_VG002;85.2;2.52;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:56:44;F_VG002;84.8;2.45;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:56:58;F_VG002;85.1;2.51;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:57:12;F_VG002;84.7;2.48;162.1;34.0;49.9;25.1;5.0;Aktiv;
11.11.2024-06:57:26;F_VG002;85.4;2.54;161.9;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:57:40;F_VG002;85.2;2.52;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:57:54;F_VG002;85.0;2.55;162.1;34.0;49.9;24.9;5.0;Aktiv;
11.11.2024-06:58:08;F_VG002;85.3;2.5;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:58:22;F_VG002;84.7;2.58;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:58:36;F_VG002;85.1;2.6;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:58:50;F_VG002;85.0;2.59;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:59:04;F_VG002;85.0;2.48;162.1;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:59:18;F_VG002;84.8;2.42;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:59:32;F_VG002;84.9;2.48;161.8;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:59:46;F_VG002;84.9;2.49;162.0;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-07:00:00;F_VG002;84.7;2.54;162.1;34.1;50.1;24.9;5.0;Aktiv;
11.11.2024-07:00:14;F_VG002;84.9;2.54;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-07:00:28;F_VG002;84.9;2.46;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-07:00:42;F_VG002;85.3;2.6;161.8;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-07:00:56;F_VG002;85.2;2.48;161.9;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-07:01:10;F_VG002;84.6;2.5;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-07:01:24;F_VG002;84.8;2.49;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-07:01:38;F_VG002;85.3;2.47;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-07:01:52;F_VG002;85.0;2.53;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-07:02:06;F_VG002;85.0;2.43;162.2;34.0;49.9;24.9;5.0;Aktiv;
11.11.2024-07:02:20;F_VG002;85.2;2.56;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-07:02:34;F_VG002;85.5;2.43;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-07:02:48;F_VG002;85.0;2.48;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-07:03:02;F_VG002;84.7;2.5;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-07:03:16;F_VG002;85.1;2.5;161.9;34.1;50.1;25.1;5.0;Aktiv;
11.11.2024-07:03:30;F_VG002;84.8;2.53;162.0;34.0;50.0;25.0;5.0;Aktiv;
